,item_number,total_ratio,total_ratio_unique,D52.1,D59.0,D59.2,D61.1,D64.2,D68.3,D69.5,E03.2,E06.4,E15,E16.0,E23.1,E24.2,E27.3,E66.1,F11,F13,F15,F19,F55,G21.0,G21.1,G21.2,G24.0,G25.0,G25.1,G25.4,G25.6,G44.4,G62.0,G72.0,H26.3,H40.6,H91.0,I42.7,I95.2,J70.2,J70.3,J70.4,K52.1,K71.1,K71.2,K71.6,K71.9,K85.3,L10.5,L23.3,L24.4,L25.1,L27,L27.0,L27.1,L27.8,L27.9,L43.2,L51,L51.1,L51.2,L51.8,L51.9,L56.0,L56.1,L64.0,M10.2,M32.0,M34.2,M80.4,M81.4,M83.5,M87.1,N14.0,N14.1,N14.2,N14.3,N14.4,N99.0,O35.5,O74.2,O74.3,O74.4,P04.0,P04.1,P04.4,P58.4,P93,P96.1,P96.2,Q86.1,Q86.2,R50.2,T36,T37,T38,T39,T39.1,T40,T40.3,T41,T42,T43,T44,T45,T46,T46.0,T47,T48,T49,T50,T78,T78.2,T78.3,T78.4,T78.8,T78.9,T80.1,T80.2,T80.3,T80.4,T80.5,T80.6,T80.8,T80.9,T88.3,T88.6,T88.7,X40,X41,X42,X43,X44,X45.5,Y40,Y41,Y42,Y42.7,Y43,Y44,Y44.0,Y44.2,Y45,Y45.5,Y46,Y47,Y47.1,Y48,Y48.1,Y48.2,Y48.3,Y48.4,Y49,Y50,Y51,Y52,Y53,Y54,Y55,Y55.1,Y56,Y57,Y57.5,Y57.9,Y58,Y59,Y59.9,Y63,Y65.1,Y69,Y88.0,Z03.6
0,B96,0.00015322704215356574,0.006626506024096385,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,
1,n39,5.645206816184002e-05,0.004216867469879518,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,
2,Z86,0.0007500060484358745,0.043373493975903614,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,
3,I25.5,0.00012096871748965718,0.007228915662650603,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0003599712023038157,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,
4,I95.9,0.003104863748901201,0.1602409638554217,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0003599712023038157,,,,,,,,,,,,,,,,,,0.0021598272138228943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0025197984161267097,,,,0.0003599712023038157,0.0007199424046076314,,,,,,,,,,,,,,,0.0014398848092152627,,0.0007199424046076314,0.008999280057595392,0.0017998560115190785,0.0003599712023038157,,,,,,,,,,,0.0010799136069114472,0.0017998560115190785,,,,,,,,
5,I50.1,0.00043548738296276586,0.021686746987951807,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0003599712023038157,,,,,,,,,,,,,,,,,,0.0003599712023038157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0003599712023038157,0.0,,,,,,,,
6,Z86.43,0.014024306647634256,0.258433734939759,,,,,,,,,,,,,,,,,,,,,,,,,,0.0007199424046076314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0003599712023038157,,,,,,,,,,,,,,,,,,0.0025197984161267097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003599712023038157,,,,0.0007199424046076314,0.0003599712023038157,,,,,,,,,,,,,,,0.0032397408207343412,,0.0007199424046076314,0.005759539236861051,0.0021598272138228943,0.0007199424046076314,,,,,,,,,,,0.0025197984161267097,0.003959683225341973,,,,,,,,
7,I95.2,0.0010242018080790973,0.0746987951807229,,,,,,,,,,,,,,,,,,,,,,,,,,0.0003599712023038157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0003599712023038157,,,,,,,,,,,,,,,,,,0.0003599712023038157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0007199424046076314,,,,0.0003599712023038157,0.0003599712023038157,,,,,,,,,,,,,,,0.0003599712023038157,,0.0003599712023038157,0.005039596832253419,0.005759539236861051,0.0010799136069114472,,,,,,,,,,,0.0003599712023038157,0.0003599712023038157,,,,,,,,
8,Z95.0,0.0013145267300542747,0.03855421686746988,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0003599712023038157,,,,,,,,,,,,,,,0.0,,0.0,0.0003599712023038157,0.0,0.0,,,,,,,,,,,0.0,0.0003599712023038157,,,,,,,,
9,K31.8,8.064581165977145e-06,0.0006024096385542169,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,
